Region 2 Provinces,2015,2016,2017,2018,2019,2020
II Cagayan Valley,5089447.31,4887747.48,4957563.57,4795648.20,4761592.43,4903400.97
Batanes,105298.31,89826.29,98987.49,103868.36,108494.61,122411.69
Cagayan,3882964.16,3724062.47,3747026.38,3623765.61,3588593.57,3685855.32
Isabela,871515.90,830036.66,860842.05,823595.47,812334.10,830228.27
Nueva Vizcaya,157893.21,162642.44,163907.97,158339.28,164469.02,180477.23
Quirino,71775.73,81179.62,86799.68,86079.48,87701.13,84428.46
