Province,2000,2010,2015,2020
Batanes,16467,16604,17246,18831
Cagayan,993580,1124773,1199320,1268603
Isabela,1287575,1489645,1593566,1697050
Nueva Vizcaya,366962,421355,452287,497432
Quirino,148575,176786,188991,203828
