Region,Year,Subsector,Water Source,Culture Environment,Production
II,2016,Aquaculture,Brackishwater,Fish pond,3818
II,2016,Aquaculture,Brackishwater,Fish pen,45
II,2016,Aquaculture,Brackishwater,Fish cage,
II,2016,Aquaculture,Freshwater,Fish pond,7216
II,2016,Aquaculture,Freshwater,Fish pen,
II,2016,Aquaculture,Freshwater,Fish cage,362
II,2016,Aquaculture,Marine Waters,Fish pond,
II,2016,Aquaculture,Marine Waters,Fish pen,
II,2016,Aquaculture,Marine Waters,Fish cage,
II,2016,Aquaculture,"Oyster, Mussel and Seaweed",,840
II,2016,Aquaculture,Small Farm Reservoir,,23
II,2016,Aquaculture,Rice Fish,,
II,2017,Aquaculture,Brackishwater,Fish pond,3881
II,2017,Aquaculture,Brackishwater,Fish pen,
II,2017,Aquaculture,Brackishwater,Fish cage,65
II,2017,Aquaculture,Freshwater,Fish pond,7435
II,2017,Aquaculture,Freshwater,Fish pen,
II,2017,Aquaculture,Freshwater,Fish cage,352
II,2017,Aquaculture,Marine Waters,Fish pond,
II,2017,Aquaculture,Marine Waters,Fish pen,
II,2017,Aquaculture,Marine Waters,Fish cage,
II,2017,Aquaculture,"Oyster, Mussel and Seaweed",,771
II,2017,Aquaculture,Small Farm Reservoir,,24
II,2017,Aquaculture,Rice Fish,,
II,2018,Aquaculture,Brackishwater,Fish pond,4059
II,2018,Aquaculture,Brackishwater,Fish pen,
II,2018,Aquaculture,Brackishwater,Fish cage,70
II,2018,Aquaculture,Freshwater,Fish pond,7062
II,2018,Aquaculture,Freshwater,Fish pen,
II,2018,Aquaculture,Freshwater,Fish cage,335
II,2018,Aquaculture,Marine Waters,Fish pond,
II,2018,Aquaculture,Marine Waters,Fish pen,
II,2018,Aquaculture,Marine Waters,Fish cage,
II,2018,Aquaculture,"Oyster, Mussel and Seaweed",,796
II,2018,Aquaculture,Small Farm Reservoir,,23
II,2018,Aquaculture,Rice Fish,,
II,2019,Aquaculture,Brackishwater,Fish pond,4132
II,2019,Aquaculture,Brackishwater,Fish pen,
II,2019,Aquaculture,Brackishwater,Fish cage,70
II,2019,Aquaculture,Freshwater,Fish pond,"7,239.00"
II,2019,Aquaculture,Freshwater,Fish pen,
II,2019,Aquaculture,Freshwater,Fish cage,296
II,2019,Aquaculture,Marine Waters,Fish pond,
II,2019,Aquaculture,Marine Waters,Fish pen,
II,2019,Aquaculture,Marine Waters,Fish cage,
II,2019,Aquaculture,"Oyster, Mussel and Seaweed",,808
II,2019,Aquaculture,Small Farm Reservoir,,26
II,2019,Aquaculture,Rice Fish,,
II,2020,Aquaculture,Brackishwater,Fish pond,4936.84
II,2020,Aquaculture,Brackishwater,Fish pen,
II,2020,Aquaculture,Brackishwater,Fish cage,72.21
II,2020,Aquaculture,Freshwater,Fish pond,"7,242.59"
II,2020,Aquaculture,Freshwater,Fish pen,
II,2020,Aquaculture,Freshwater,Fish cage,277.37
II,2020,Aquaculture,Marine Waters,Fish pond,
II,2020,Aquaculture,Marine Waters,Fish pen,
II,2020,Aquaculture,Marine Waters,Fish cage,
II,2020,Aquaculture,"Oyster, Mussel and Seaweed",,767.11
II,2020,Aquaculture,Small Farm Reservoir,,24.98
II,2020,Aquaculture,Rice Fish,,
