Region 2 Provinces,2015,2016,2017,2018,2019,2020
II Cagayan Valley,56353.00,53469.59,51025.75,47572.50,45382.03,43918.87
Batanes,1010.08,813.06,880.13,878.97,889.16,856.80
Cagayan,43171.62,40497.52,37853.65,35121.96,32815.10,31625.18
Isabela,9732.51,9484.04,9534.25,8959.58,9025.53,8765.47
Nueva Vizcaya,1685.60,1791.75,1834.81,1744.72,1790.23,1872.46
Quirino,753.20,883.23,922.92,867.27,862.01,798.97
