Region,Species,2016 Quarter 1,2016 Quarter 2,2016 Quarter 3,2016 Quarter 4,2017 Quarter 1,2017 Quarter 2,2017 Quarter 3,2017 Quarter 4,2018 Quarter 1,2018 Quarter 2,2018 Quarter 3,2018 Quarter 4,2019 Quarter 1,2019 Quarter 2,2019 Quarter 3,2019 Quarter 4,2020 Quarter 1,2020 Quarter 2,2020 Quarter 3,2020 Quarter 4,2021 Quarter 1,2021 Quarter 2,2021 Quarter 3,2021 Quarter 4
II,Acetes (Alamang),154.95,65.83,33.29,17.98,109.32,56.23,,12.93,37.27,31.45,,10.86,16.86,30.15,,9.37,11.39,28.64,17.15,8.08,10.43,23.42,,
II,Anchovies (Dilis),206.74,562.17,383.87,99.34,197.99,402.61,213.83,84.36,139.81,342.13,196.38,53.61,100.12,334.12,136.55,40.2,56.98,273.33,120.71,38.4,56.47,327.92,92.82,41.18
II,Big-eyed scad (Matangbaka),56.4,161.78,207.28,79.45,64.49,174.19,128.41,60.51,58.16,150.77,123.89,43.81,55.74,146.53,88.89,33.78,28.26,126.73,83.27,32.52,25.82,139.61,63.39,31.78
II,Bigeye tuna (Tambakol/ Bariles),6.73,9.94,6.87,5.74,7.59,10.35,3.7,4.44,4.25,8.3,3.51,3.45,3.25,7.38,2.48,3.0,1.96,6.94,2.46,2.75,1.89,7.37,1.85,3.29
II,Blue crab (Alimasag),0.23,0.66,0.24,0.4,0.51,0.47,0.19,0.32,0.45,0.44,0.16,0.24,0.32,0.42,0.12,0.2,0.14,0.32,0.11,0.19,0.13,0.22,0.08,0.17
II,Caesio (Dalagang-bukid),17.13,78.53,64.91,10.2,13.91,67.72,57.03,8.11,8.01,58.08,50.96,6.3,5.34,57.27,38.45,5.72,3.01,40.69,35.11,4.8,2.74,41.9,22.18,4.19
II,Cavalla (Talakitok),22.31,51.99,56.11,18.13,17.61,59.57,31.81,9.43,13.41,51.84,30.43,8.69,11.87,49.49,19.86,7.62,5.48,37.75,19.34,6.96,4.86,43.2,17.46,7.7
II,Crevalle (Salay-salay),25.77,47.97,24.04,27.85,18.78,43.76,21.16,20.76,16.38,39.99,18.36,15.06,11.62,36.16,9.9,9.15,7.0,25.74,8.69,8.01,6.12,20.9,8.62,6.81
II,Eastern little tuna (Bonito),67.46,172.05,161.1,26.48,70.33,190.98,124.17,13.71,58.34,155.31,120.3,11.12,33.77,154.9,47.44,10.48,17.52,111.49,41.88,9.06,15.26,99.07,39.86,8.53
II,Fimbriated sardines (Tunsoy),22.1,122.9,68.53,24.32,23.78,104.65,46.5,12.81,17.3,91.0,34.81,10.84,17.0,84.29,27.44,7.26,9.36,63.44,23.7,5.98,8.86,60.15,13.7,5.75
II,Flying fish (Bolador),5.81,9.83,6.47,2.58,6.48,6.02,5.19,1.66,4.15,5.51,5.09,1.57,3.62,4.95,3.11,1.36,1.48,4.72,2.62,1.15,1.35,4.86,1.89,1.09
II,Frigate tuna (Tulingan),157.44,317.54,427.79,106.33,163.73,347.12,306.41,96.39,124.13,269.43,237.4,58.25,99.9,266.95,104.29,48.6,76.05,208.79,99.77,42.86,73.61,222.04,68.25,45.12
II,Goatfish (Saramulyete),28.35,93.64,53.36,33.87,29.43,90.61,45.27,14.0,23.49,85.99,42.76,10.89,21.63,80.33,14.5,10.02,11.51,61.36,12.96,8.92,9.09,55.27,10.34,7.22
II,Grouper (Lapu-lapu),0.12,3.3,11.65,3.45,0.17,1.84,6.26,2.83,0.14,1.56,5.14,2.27,0.12,1.44,3.99,1.56,0.06,1.37,3.67,1.44,0.05,1.59,2.94,1.36
II,Hairtail (Espada),240.68,436.54,322.81,101.62,232.77,310.54,230.32,55.07,184.11,244.53,176.51,37.3,119.53,214.8,60.11,24.64,61.4,188.7,52.73,22.71,44.0,195.3,49.63,21.81
II,Indian mackerel (Alumahan),22.35,49.33,29.31,13.76,19.46,57.59,23.92,11.19,13.3,44.25,19.98,10.02,8.8,37.43,14.32,7.21,5.29,33.26,11.31,6.39,4.03,28.56,7.95,5.34
II,Bali sardinella (Tamban),69.82,183.7,178.73,22.7,49.88,228.99,87.26,11.95,43.26,206.04,84.02,10.38,26.5,190.5,58.52,9.58,20.96,151.69,57.9,8.77,17.1,114.41,48.35,7.99
II,Indo-pacific mackerel (Hasa-hasa),25.33,50.66,19.84,8.61,19.42,65.49,14.9,4.9,13.91,57.78,14.31,3.93,12.4,55.45,10.35,3.32,6.29,47.18,9.32,3.19,5.28,36.28,8.0,2.66
II,Mullet (Kapak),1.17,1.1,5.92,1.58,1.45,0.78,2.64,0.88,0.91,0.56,1.5,0.75,0.86,0.47,1.24,0.69,,0.46,1.19,0.64,,0.41,1.03,0.57
II,Parrot fish (Loro),,,0.94,,,,0.69,,,,0.46,,,,0.38,,,,0.36,,,,0.26,
II,Porgies (Pargo),,,1.02,,,,0.6,,,,0.35,,,,0.3,,,,0.28,,,,0.21,
II,Round herring (Tulis),28.4,10.31,16.53,8.75,30.38,8.77,13.84,6.82,24.9,6.94,11.19,5.89,20.22,6.65,4.89,5.51,15.17,5.15,4.47,4.55,11.63,4.17,2.63,4.06
II,Roundscad (Galunggong),143.46,443.3,195.85,19.37,151.96,357.04,126.92,14.05,133.51,254.46,118.2,13.9,100.54,218.75,78.38,12.07,77.86,157.85,71.34,11.24,63.97,175.13,54.46,7.65
II,Siganid (Samaral),,1.85,3.31,,,1.82,1.48,,,1.1,1.0,,,0.79,0.65,,,0.65,0.61,,,0.56,0.36,
II,Skipjack (Gulyasan),23.26,99.37,132.89,59.36,31.16,93.13,83.29,49.79,24.11,69.39,76.21,32.09,22.11,58.25,42.13,28.21,12.82,48.48,40.81,24.96,12.62,42.97,26.09,17.66
II,Slipmouth (Sapsap),221.46,346.7,211.37,70.13,227.36,272.73,164.78,36.76,211.75,172.52,157.48,25.28,134.63,170.99,58.74,20.62,94.12,152.22,51.28,17.91,82.83,116.84,34.74,15.33
II,Snapper (Maya-maya),,13.31,30.86,3.9,,9.79,16.04,2.97,,6.79,8.08,1.7,,5.83,5.58,1.66,0.83,5.33,5.1,1.4,0.78,5.53,4.02,1.2
II,Spanish mackerel (Tanigue),75.27,115.67,178.98,35.16,85.29,137.76,133.44,26.36,74.79,118.78,110.9,18.46,72.07,100.66,81.06,16.17,55.38,96.22,71.58,15.11,43.47,77.35,58.46,16.19
II,Squid (Pusit),33.27,284.1,53.09,19.96,27.05,208.21,36.83,12.07,19.7,152.88,27.37,10.12,14.94,137.15,19.88,8.55,6.92,119.72,19.79,7.47,5.86,108.98,14.76,6.29
II,Threadfin bream (Bisugo),71.06,134.65,82.87,42.73,80.21,142.51,79.85,14.0,70.13,101.78,74.21,11.38,45.7,97.24,45.17,8.03,22.24,78.07,35.3,7.04,16.02,85.62,20.97,6.66
II,Yellowfin tuna (Tambakol/Bariles),51.56,88.15,175.78,50.89,52.32,110.61,136.73,34.62,42.05,75.47,114.56,24.08,34.31,75.32,69.49,18.9,15.94,61.28,59.14,17.17,12.99,67.83,51.75,18.63
II,Others,185.4,519.6,252.26,127.57,161.36,409.84,191.5,76.78,128.11,319.35,169.8,62.27,90.42,251.97,99.12,40.63,54.03,206.56,88.59,34.63,47.43,208.55,55.82,28.39
