YEAR,MONTH,RAINFALL,TMEAN,RH,WIND_SPEED,WIND_DIRECTION
2015,1,65.3,23,86,1,360
2015,2,8.9,24.1,83,1,360
2015,3,32.9,26.5,77,1,180
2015,4,52,28.6,76,1,180
2015,5,178.8,29.9,74,1,180
2015,6,52.7,31.1,71,1,180
2015,7,206.9,28.5,80,1,180
2015,8,248.4,28.8,78,1,180
2015,9,47.2,29.1,77,1,180
2015,10,298.5,27.1,85,1,180
2015,11,31.6,26.6,81,0,-999
2015,12,228.4,25,87,1,360
2016,1,21.2,25.2,82,1,-999
2016,2,33.1,24.4,83,1,360
2016,3,3.8,27.2,77,1,360
2016,4,0,31,65,1,180
2016,5,96.4,31.2,69,1,180
2016,6,153.1,30,74,1,180
2016,7,402,29.6,77,1,180
2016,8,119.7,28.9,82,1,180
2016,9,105.3,28.6,82,1,180
2016,10,420.3,27.9,82,2,180
2016,11,416.9,26,86,1,360
2016,12,210.4,25.1,89,2,360
2017,1,78.3,24.2,84,1,360
2017,2,89.2,23.8,84,1,360
2017,3,29.66,26.4,77,1,360
2017,4,43.6,28.8,72,2,180
2017,5,236.7,29.6,77,1,180
2017,6,43.6,29.9,75,1,180
2017,7,91.4,29.2,79,1,180
2017,8,109.1,28.5,82,1,180
2017,9,133.6,29.1,81,1,180
2017,10,262.8,26.9,86,1,360
2017,11,347.2,26.3,88,1,360
2017,12,52,24.2,89,2,360
2018,1,7,24.6,85,1,360
2018,2,23.2,25.2,84,1,360
2018,3,1,26.4,72,1,360
2018,4,50.4,29.1,71,1,360
2018,5,8.2,31.5,66,1,180
2018,6,144.8,30.2,75,1,180
2018,7,250.1,28.9,82,1,180
2018,8,142,28.7,83,1,180
2018,9,317.9,28.6,80,2,360
2018,10,145.6,27.5,79,2,360
2018,11,11.7,26.7,79,1,360
2018,12,131.5,25.4,84,1,360
2019,1,31.1,23.9,83,1,360
2019,2,0,25.6,71,1,180
2019,3,11.8,27.6,70,2,360
2019,4,39.3,30.3,70,2,360
2019,5,283.4,29.7,78,2,360
2019,6,121.4,30.6,77,1,180
2019,7,201.2,29.4,79,1,180
2019,8,256.4,29.1,80,1,180
2019,9,215,27.8,85,1,360
2019,10,105.4,27.4,82,1,360
2019,11,443.9,25.1,91,1,360
2019,12,297.2,24.8,88,2,360
2020,1,11.3,24.6,84,1,360
2020,2,4.6,24.1,78,1,360
2020,3,27.8,28.5,70,1,360
2020,4,13,29.8,70,2,360
2020,5,280,31,73,1,180
2020,6,68.2,30.7,74,1,180
2020,7,145.5,29.5,79,1,180
2020,8,168,29,85,1,180
2020,9,127.5,29.4,83,1,180
2020,10,419.4,26.8,90,1,360
2020,11,549.3,26.1,89,1,360
2020,12,397.1,25.2,92,1,360
2021,1,52.6,23.7,87,2,360
2021,2,43.3,24.6,82,1,360
2021,3,25.4,27.4,80,1,360
2021,4,-999,-999,-999,-999,-999
2021,5,-999,-999,-999,-999,-999
2021,6,94,31.1,71,2,180
2021,7,121,30.2,78,1,180
2021,8,91,29.5,79,1,180
2021,9,87.1,29.1,82,1,180
2021,10,225.1,-999,84,1,360
2021,11,167.9,-999,84,1,360
2021,12,73.4,-999,86,1,360
