Region 2 Provinces,2020 Population,2020 Production Value,2020 Production Volume,Commercial Fisheries Volume,Marine Municipal Fisheries Volume,Inland Municipal Fisheries Volume,Aquaculture Volume,Commercial Fisheries Value,Marine Municipal Fisheries Value,Inland Municipal Fisheries Value,Aquaculture Value,Acetes (Alamang),Anchovies (Dilis),Big-eyed scad (Matangbaka),Bigeye tuna (Tambakol/ Bariles),Blue crab (Alimasag),Caesio (Dalagang-bukid),Cavalla (Talakitok),Crevalle (Salay-salay),Eastern little tuna (Bonito),Fimbriated sardines (Tunsoy),Flying fish (Bolador),Frigate tuna (Tulingan),Goatfish (Saramulyete),Grouper (Lapu-lapu),Hairtail (Espada),Indian mackerel (Alumahan),Bali sardinella (Tamban),Indo-pacific mackerel (Hasa-hasa),Mullet (Kapak),Parrot fish (Loro),Porgies (Pargo),Round herring (Tulis),Roundscad (Galunggong),Siganid (Samaral),Skipjack (Gulyasan),Slipmouth (Sapsap),Snapper (Maya-maya),Spanish mackerel (Tanigue),Squid (Pusit),Threadfin bream (Bisugo),Yellowfin tuna (Tambakol/Bariles),Others,Brackishwater - Fish pond,Brackishwater - Fish cage,Freshwater - Fish pond,Freshwater - Fish cage,"Oyster, Mussel and Seaweed",Small Farm Reservoir
Batanes,18831,122411.69,856.8,4008.19,17909.29,8822.97,14033.44,405121.56,1880469,866959.21,1952487.09,33.85,518.39,260.6,14.4,0.6,71.01,73.22,42.45,162.72,88.46,9.19,409.02,81.92,5.94,310.74,45.88,187.85,52.22,2.01,0.26,0.21,22.49,301.21,0.92,99.34,249.74,11.53,195.47,135.89,129.27,151.2,340.19,4936.84,72.21,7242.59,277.37,767.11,24.98
Cagayan,1268603,3685855.32,31625.18,4008.19,17909.29,8822.97,14033.44,405121.56,1880469,866959.21,1952487.09,33.85,518.39,260.6,14.4,0.6,71.01,73.22,42.45,162.72,88.46,9.19,409.02,81.92,5.94,310.74,45.88,187.85,52.22,2.01,0.26,0.21,22.49,301.21,0.92,99.34,249.74,11.53,195.47,135.89,129.27,151.2,340.19,4936.84,72.21,7242.59,277.37,767.11,24.98
Isabela,1697050,830228.27,8765.47,4008.19,17909.29,8822.97,14033.44,405121.56,1880469,866959.21,1952487.09,33.85,518.39,260.6,14.4,0.6,71.01,73.22,42.45,162.72,88.46,9.19,409.02,81.92,5.94,310.74,45.88,187.85,52.22,2.01,0.26,0.21,22.49,301.21,0.92,99.34,249.74,11.53,195.47,135.89,129.27,151.2,340.19,4936.84,72.21,7242.59,277.37,767.11,24.98
Nueva Vizcaya,497432,180477.23,1872.46,4008.19,17909.29,8822.97,14033.44,405121.56,1880469,866959.21,1952487.09,33.85,518.39,260.6,14.4,0.6,71.01,73.22,42.45,162.72,88.46,9.19,409.02,81.92,5.94,310.74,45.88,187.85,52.22,2.01,0.26,0.21,22.49,301.21,0.92,99.34,249.74,11.53,195.47,135.89,129.27,151.2,340.19,4936.84,72.21,7242.59,277.37,767.11,24.98
Quirino,203828,84428.46,798.97,4008.19,17909.29,8822.97,14033.44,405121.56,1880469,866959.21,1952487.09,33.85,518.39,260.6,14.4,0.6,71.01,73.22,42.45,162.72,88.46,9.19,409.02,81.92,5.94,310.74,45.88,187.85,52.22,2.01,0.26,0.21,22.49,301.21,0.92,99.34,249.74,11.53,195.47,135.89,129.27,151.2,340.19,4936.84,72.21,7242.59,277.37,767.11,24.98
